평점,댓글
1,"알러지로 코 치료 받는데 의사선생님은 아이에게 배려라고는 하나 없는 손끝놀림으로 치료해주고.... 알러지 검사하자고 제안해서 어쩔수 없이 아이 팔에서 피를 뽑았어요.  간호사는 주사바늘 고정도 못 시키고 자신없게 몇분동안을 꽂아놓고 흔들흔들 덜덜덜 어설프게 피를 뽑아대고도, 공기반 피반인 주사기안을 다시 혈관안으로 다시 넣었다뺐다?! 저래도 되나? 싶게....."
1,진짜 이상한곳 ㅋㅋ 카운터부터 의사까지 다 이상함; 특히 카운터 여자분은 손님이랑 싸우자는거죠? 이 동네 이비인후과 좀 더 생겼으면.. 
1,ㅋㅋㅋㄱ진짜 들어갈때부터 나올때까지 어이가 없네욬 일단 의사가 환자랑 싸우고 싶어서 안달나보임 내가 진료받고 내가 왜그런지 알고싶어서갔지 처음부터 알고 혼자 치료할수있으면 병원을 왜갑니까 그거가지고 진료받는 환자한테 화를내질않나 항원검사도 피볼때까지하고 보건소에서 pcr받을때 아무리 깊게 넣을때도 이정도는 아니였어요  하... 진료보는데 사람없어도 1시간 ...
1,일찍 와도 코로나검사해야 진료 된다고해서 접수하고 한시간 반이상 기다려서 검사해야되네요; 기다리는동안 어떠한 안내도없이 문자접수하고 끝이에요. 한참 기다려서 검사 받았는데 검사 면봉 한두번 넣어보신거 아닐텐데 코에서 목으로 넘어갈때까지 쑤시고 돌리고 코 여러번 쑤셔봤지만 이정도로 깊고 아프게 넣는 의사분 처음이에요ㅋㅋ.. 그리고 보통 고개 꺾지말라고 하는데...
1,어머니가 언제부터인지 귀에서 윙윙 울리는 소리가 들리셔서 몇개월되셨는데 생활하는데 불편하시고 인테넷도 알아보고 병원도 몇군데 가보기도 하셨는데 도무지 낳을기미가 보이질 않으시다가 아는분이 이명증이라고 이비인후과를 한번 가보라고 하셨다 어머니 연세 올해 70세시고 아직까지 일도하시고 또래분들에 비해 활동적이시고 굉장히 건강하신편에. 속한다. 근데 병원에서 동...
5,"후기들이 1점 아니면 5점인게 재밌네요. 코로나로 비대면 진료 받았는데 대기가 157명이라 전화 늦을 수 있다 문자 먼저주시고, 토요일 약국 문 닫기 전에 애써 전화 돌리시더라구요. 이겨낼 수 있다고 힘내보자고 에너지 넘치는 목소리로 말씀해주신 것 참 감사했습니다. 목이 너무 아팠는데 약도 잘 들어서 금방 털고 일어났어요. 매일이 전쟁같을텐데 그러기 쉽지 ..."
5,우리 동네에 이런 병원이 있다는게 너무 감사하네요.  의사선생님 정말 대단하세요.  오늘부터 특히 더 많이 바쁘실텐데.. 전혀 퉁명스럽거나 차갑지 않으세요. 책임지고 늦게까지 검사하고 비대면 전화진료까지 하십니다.
5,pcr검사 안함
5,"아침9시전부터 오후6시까지 방역복 입구 진찰에, 신속항원검사, 안내까지 하십니다. 그리고 퇴근도 없이 오후 6시부터 밤 10시반까지 비대면진료하느라 환자들에게 일일이 전화 돌리고, 처방전 약국으로 보내고요.  그리고 다음날 아침 출근해서 또 똑같이 진료, 진찰 시작하죠. 그렇게 주6일 근무합니다.  자가키트 두번 연속 음성 나오다가 증상이 의심되서 이 의원..."
5,감기로 방문했는데 신속항원검사까지 한꺼번에 코로나 검사를 받을 수 있어서 편했어요~ 다행히 결과도 음성이었어욯ㅎㅎ 역류성식도염도 있어서 같이 진료 봐주셨는데 친절하고 이해 쉽게 진료해주셨어요~
5,백신 접종 환자들이랑 동선도 구분이 되어 있고 원장님부터 방호복까지 입으신거보니 검역에 철저한 병원이란 생각에 안심되고 좋았어요~
1,간호사 네가지없습니다 인터넷에 6시20분까지라고해서 갔더니  접수마감이랍니다 접수언제까지냐거하니까 5시 30분이랍니다  지금31분인데 그럼인터넷 정보좀 수정하던가 개빡치네
1,여기는 올때마다 간호사들 때문에 맘에안들엇음  불친절 ㅇㅇ 의사쌤은 갠찮으심 
5,처음가본 곳인데 원장님께서 엄청 친절하게 하나하나 다 설명해주시고 증상개선도 확실하네요. 코시국에 방호복까지 믿음이 갑니다 자주 방문할듯
5,"회사에 제출해야해서 코로나 검사 받고 중이염 치료도 받았는데, 원장님하고 간호사분들 정말 친절하시네요^^ 그리고 코로나 검사 동선 구분도 확실히 되어 정말 안심이 되었어요! 참이비인후과 적극 추천합니다~!"
5,여러 이비인후과 다녀봤는데 가장 설명을 잘해주세요
1,리뷰가1점인게 한두개면  개인의선택이지만  1점이 여러명이면  소비자의 최종결정임 ~ 코막힘 가래로 갔는데  내시경.스프레이등으로 코와 목을 보고  환자이야길들어 약처방을 내는게 대부분의 이비인후과인데  이곳은 좀특히함  환자말은 다짜르고  그어떤진료도없음  생뚱맞게 축농증 증상같다며 엑스레이찍으라함. 빨리낳고싶어  약처방받음 역시나 효과제로.    원래다...
5,백신 맞으러 처음 갔는데 너무 친절하셔서 일반진료 받으러도 갔어요 이렇게 정성들여 증상의 원인과 왜 다시 와야하는지 설명해주는 의사선생님은 진짜 오랜만인듯
1,"지킬 것 잘 지키면 간호사 분들은 친절하신데, 의사 분이 굉장히 성의 없고 불친절합니다. 아무리 저보다 나이가 많으셔도, 초면에 대뜸 반말로 툭툭 던지는 태도가 정말 불쾌했네요. 후기가 좋지 않아도, 집 근처라서 갔었는데 재방문 의사 없습니다."
1,성의없고 불친절 재방문의사없음
1,일찍가서 기다리면 뭐하나요… 안내도 없고 진료순서 마음대로네요…. 물어봐도 친철은 커녕;;; 
1,방호복?그거는 왜입고잇나요? 코로나검사는 얼마전햇는데..콧물기침심해서갓는데 마스크는  씌운채로 보지도않고 코로나검사나 받으러 가라는둥 대충약이나 지어줄테니 먹으라고해서 나가라함 기막히고 코막히고..참내 돈아깝고 화나게하는병윈
5,백신 맞으러 처음 갔는데 너무 친절하셔서 일반진료 받으러도 갔어요 이렇게 정성들여 증상의 원인과 왜 다시 와야하는지 설명해주는 의사선생님은 진짜 오랜만인듯
1,"지킬 것 잘 지키면 간호사 분들은 친절하신데, 의사 분이 굉장히 성의 없고 불친절합니다. 아무리 저보다 나이가 많으셔도, 초면에 대뜸 반말로 툭툭 던지는 태도가 정말 불쾌했네요. 후기가 좋지 않아도, 집 근처라서 갔었는데 재방문 의사 없습니다."
1,성의없고 불친절 재방문의사없음
1,일찍가서 기다리면 뭐하나요… 안내도 없고 진료순서 마음대로네요…. 물어봐도 친철은 커녕;;; 
1,방호복?그거는 왜입고잇나요? 코로나검사는 얼마전햇는데..콧물기침심해서갓는데 마스크는  씌운채로 보지도않고 코로나검사나 받으러 가라는둥 대충약이나 지어줄테니 먹으라고해서 나가라함 기막히고 코막히고..참내 돈아깝고 화나게하는병윈
1,여기는 올때마다 간호사들 때문에 맘에안들엇음  불친절 ㅇㅇ 의사쌤은 갠찮으심 
5,처음가본 곳인데 원장님께서 엄청 친절하게 하나하나 다 설명해주시고 증상개선도 확실하네요. 코시국에 방호복까지 믿음이 갑니다 자주 방문할듯
5,"회사에 제출해야해서 코로나 검사 받고 중이염 치료도 받았는데, 원장님하고 간호사분들 정말 친절하시네요^^ 그리고 코로나 검사 동선 구분도 확실히 되어 정말 안심이 되었어요! 참이비인후과 적극 추천합니다~!"
5,여러 이비인후과 다녀봤는데 가장 설명을 잘해주세요
1,리뷰가1점인게 한두개면  개인의선택이지만  1점이 여러명이면  소비자의 최종결정임 ~ 코막힘 가래로 갔는데  내시경.스프레이등으로 코와 목을 보고  환자이야길들어 약처방을 내는게 대부분의 이비인후과인데  이곳은 좀특히함  환자말은 다짜르고  그어떤진료도없음  생뚱맞게 축농증 증상같다며 엑스레이찍으라함. 빨리낳고싶어  약처방받음 역시나 효과제로.    원래다...
1,여기는 올때마다 간호사들 때문에 맘에안들엇음  불친절 ㅇㅇ 의사쌤은 갠찮으심 
5,처음가본 곳인데 원장님께서 엄청 친절하게 하나하나 다 설명해주시고 증상개선도 확실하네요. 코시국에 방호복까지 믿음이 갑니다 자주 방문할듯
5,"회사에 제출해야해서 코로나 검사 받고 중이염 치료도 받았는데, 원장님하고 간호사분들 정말 친절하시네요^^ 그리고 코로나 검사 동선 구분도 확실히 되어 정말 안심이 되었어요! 참이비인후과 적극 추천합니다~!"
5,여러 이비인후과 다녀봤는데 가장 설명을 잘해주세요
1,리뷰가1점인게 한두개면  개인의선택이지만  1점이 여러명이면  소비자의 최종결정임 ~ 코막힘 가래로 갔는데  내시경.스프레이등으로 코와 목을 보고  환자이야길들어 약처방을 내는게 대부분의 이비인후과인데  이곳은 좀특히함  환자말은 다짜르고  그어떤진료도없음  생뚱맞게 축농증 증상같다며 엑스레이찍으라함. 빨리낳고싶어  약처방받음 역시나 효과제로.    원래다...
5,백신 맞으러 처음 갔는데 너무 친절하셔서 일반진료 받으러도 갔어요 이렇게 정성들여 증상의 원인과 왜 다시 와야하는지 설명해주는 의사선생님은 진짜 오랜만인듯
1,"지킬 것 잘 지키면 간호사 분들은 친절하신데, 의사 분이 굉장히 성의 없고 불친절합니다. 아무리 저보다 나이가 많으셔도, 초면에 대뜸 반말로 툭툭 던지는 태도가 정말 불쾌했네요. 후기가 좋지 않아도, 집 근처라서 갔었는데 재방문 의사 없습니다."
1,성의없고 불친절 재방문의사없음
1,일찍가서 기다리면 뭐하나요… 안내도 없고 진료순서 마음대로네요…. 물어봐도 친철은 커녕;;; 
1,방호복?그거는 왜입고잇나요? 코로나검사는 얼마전햇는데..콧물기침심해서갓는데 마스크는  씌운채로 보지도않고 코로나검사나 받으러 가라는둥 대충약이나 지어줄테니 먹으라고해서 나가라함 기막히고 코막히고..참내 돈아깝고 화나게하는병윈
1,거짓말아니라 레알 돌팔이 무슨 말을 못하게 뚝뚝 자르고 한숨 푹푹쉬고 물어보는거에 답했더니 반응무엇? 그리고 방호복으로 꽁꽁 싸맸던데 죽을까봐 호들갑 떠는거 같아보임 다른병원이랑 비교하기 바쁘고 아무튼 돌팔이에 쓰잘데기 없는 말이 드럽게 많음
5,정말 진절하십니다...
1,접수받는 간호사는  무뚝뚝하고 친절하고는 원수진거 같아요. 반면 의사는 환자가 불편해서 이것저것 증상을 말할려면 고압적인 자세로 검사해보면 내가 다 아니까 넌 쓸데없는 소리 하지말고 검사실로 어서 가라는 말투임. 답답해서 갔지만 두번다시 가고싶지 않은 병원.
1,코 답답한거 말하면 뼈 휘었다고 하는 거 일상적인 말씀하시는 건가요? ^^ 좋네요
5,친절하고꼼꼼하게봐주십니다
5,원장님 친절함.  간호사분들 정신없음. 코로나때문에 바쁜거 다들 인정하고있는 분위기임. 어느정도 짜증내는 말투도 인정함 그럴수밖에 없음.   근데 일처리하는 거 스스로 일을 만듦  검사오면 일이 순서가 어떻게 되는지 어디가서 대기하고 어디서 확진받고 확진받고 뭘해야하고 증명서를 땔지 말지 애초에 안내문 형식으로 돈받을때 주면될걸 일 답답하게 하는데 일가견있...
1,원장이 지각하는 병원 약 다먹고 병원 두번 갔는데도 안나아서 여의도 병원가니 바로 나음..ㅎ
1,첫번째 후기는 제가 잘못 알고있는 정보가 있어 삭제합니다. 음성확인서 떼는데 오래 걸려요.
5,항상 불편한게 있을때 방문합니다. 원장님이 친절하게 설명해주셔서 매우 만족해요!!
5,첨으로 귀에 상처 나서 갔는데... 안심도 시켜주시고 무엇보다 딱 한마디에 나을 때까지 술 안먹어요. 또 오실꺼면 드세요ㅋㅋ 너무 와닿는 말씊이였습니다.
5,"마스크때문인지 건강하게 지내다가 오랜만에 좀 이상해서 진료받고왔는데.. 친절하게 상담 잘 해주셨고, 증상도 금방 괜찮아진거 같네요"
5,귀염증 때문에 다니는데 항상 친절하게 진료해주시고 상태가 많이 좋아져서 만족합니다
5,건조해지기 시작하면 어김없이 찾아오는 알레르기 비염으로 자주 가는데  믿고 진료보는 병원입니다
5,"10년째 몸안좋을때마다 다니고 있는 병원입니다.  아래 리뷰들 보니 맘이 아푸네요ㅜㅜ 친절하시고 진료 잘봐주시는 병원인데, 환자가 많아서 그런가요 무튼 저는 오랜만에 진료를 받고 갑니다^^"
1,별하나도 아깝네요. 무개념 원장..맨날 늦어
1,엉망이고 불친절해요. 채용신체검사 받으러 왔는데 다른데보다 만원 더 받더군요. 검사는 간호사가 대충대충 하더니 마지막까지 의사얼굴 한번을 못보고 왔어요. 그리고 다음날 발급받는데 40분이나 기다리게 하더군요.  완전 엉망이구 작은 공간에 사람은 많아서 다닥다닥 앉아있어서 불안하고... 그냥 가지마세요.
5,항상 환자 많지만 환자말에 집중해서 빨리 낫게 해주는 곳으로 유명해요.
